Uni_ID,ID1,ID2,Batch_Group,Exposure,Treatment,VL_Status,Treatment_VL,Group,Role,DST1M14,DST10M14,PPD_BA_M14,SICCT_M14,PPDB_M14,SIT_M14,PPDA_M14,PPDA_STM14,Culture_status,VL,Total_VL_Score
1,119.1.3,43,1,Unvaccinated_Cows,Control,Positive,Control_Positive,CS,Sentinel_Seeder,-0.003,1,1.517,7,1.633,11,0.117,4,Positive,Yes,116
2,933,46,1,Unvaccinated_Cows,Control,Positive,Control_Positive,CS,Sentinel_Seeder,0.674,1,1.538,0,1.797,2,0.259,2,Positive,Yes,60
3,893,24,1,Unvaccinated_Cows,Control,Positive,Control_Positive,CS,Sentinel_Seeder,0.592,5,1.336,8,1.488,9,0.152,1,Positive,Yes,10
4,928,44,1,Unvaccinated_Cows,Control,Positive,Control_Positive,CS,Sentinel_Seeder,0.091,2,0.399,4,0.501,6,0.102,2,Negative,Yes,15
5,091.1.3,42,1,Unvaccinated_Cows,Control,Positive,Control_Positive,CS,Sentinel_Seeder,0.097,3,0.24,13,0.307,14,0.066,1,Negative,Yes,23
6,522,18,1,Unvaccinated_Cows,Control,Positive,Control_Positive,CS,Sentinel_Seeder,0.351,0,0.76,9,0.808,10,0.047,1,Positive,Yes,4
7,891,17,1,Unvaccinated_Cows,Control,Positive,Control_Positive,CS,Sentinel_Seeder,1.036,3,2.015,16,2.683,19,0.668,3,Positive,Yes,3
8,870,15,1,Unvaccinated_Cows,Control,Positive,Control_Positive,CS,Sentinel_Seeder,0.701,14,2.188,4,2.546,16,0.359,12,Negative,Yes,11
9,525,33,1,Unvaccinated_Cows,Control,Positive,Control_Positive,CS,Sentinel_Seeder,1.234,2,2.423,17,3.218,18,0.795,1,Negative,Yes,53
10,79,34,1,Unvaccinated_Cows,Control,Positive,Control_Positive,CS,Sentinel_Seeder,0.052,2,1.187,6,1.609,12,0.422,6,Negative,Yes,2
