ID_Uniq,ID1,Batch,Treatment,Group,Diagnosis,Months_Post_Exposure,Delta_OD450nm,Test_Status,M_bovis_PCR,Total_VL_Score,IS1081_PCR,VL_Status,Rx_VL_Status,Fasciola_At_PM
1,119.1.3,1,Control,CS,DST1,0,0.02,0,Positive,116,Positive,Positive,Control_Positive,None
2,933,1,Control,CS,DST1,0,0.03,0,Positive,60,Positive,Positive,Control_Positive,None
3,893,1,Control,CS,DST1,0,-0.01,0,Positive,10,Positive,Positive,Control_Positive,None
4,928,1,Control,CS,DST1,0,0.01,0,Negative,15,Negative,Positive,Control_Positive,Fasciola
5,091.1.3,1,Control,CS,DST1,0,0,0,Negative,23,Negative,Positive,Control_Positive,None
6,522,1,Control,CS,DST1,0,-0.03,0,Positive,4,Positive,Positive,Control_Positive,None
7,891,1,Control,CS,DST1,0,0.02,0,Positive,3,Positive,Positive,Control_Positive,None
8,870,1,Control,CS,DST1,0,-0.02,0,Negative,11,Negative,Positive,Control_Positive,None
9,525,1,Control,CS,DST1,0,-0.04,0,Negative,53,Negative,Positive,Control_Positive,None
10,79,1,Control,CS,DST1,0,-0.02,0,Negative,2,Negative,Positive,Control_Positive,None
11,448,1,Control,CS,DST1,0,0.09,0,Positive,71,Positive,Positive,Control_Positive,None
12,880,1,Control,CS,DST1,0,0,0,Positive,78,Positive,Positive,Control_Positive,None
13,520,1,Control,CS,DST1,0,0,0,Positive,34,Positive,Positive,Control_Positive,None
14,885,1,Control,CS,DST1,0,0,0,Positive,12,Positive,Positive,Control_Positive,None
15,882,1,Control,CS,DST1,0,-0.01,0,Positive,72,Positive,Positive,Control_Positive,None
16,443,1,Control,CS,DST1,0,-0.03,0,Positive,23,Positive,Positive,Control_Positive,Fasciola
17,521,1,Control,CS,DST1,0,-0.19,0,Negative,16,Negative,Positive,Control_Positive,Fasciola
18,098.1.1.2,1,Vaccinate,VS,DST1,0,-0.01,0,Positive,28,Positive,Positive,Vaccinate_Positive,None
19,919,1,Vaccinate,VS,DST1,0,0,0,Negative,72,Negative,Positive,Vaccinate_Positive,Fasciola
20,518,1,Vaccinate,VS,DST1,0,0.01,0,Negative,0,Negative,Negative,Vaccinate_Negative,None
21,936,1,Vaccinate,VS,DST1,0,-0.05,0,Negative,5,Negative,Positive,Vaccinate_Positive,None
22,087.2.2,1,Vaccinate,VS,DST1,0,-0.01,0,Negative,9,Negative,Positive,Vaccinate_Positive,None
23,890,1,Vaccinate,VS,DST1,0,-0.02,0,Negative,0,Negative,Negative,Vaccinate_Negative,None
24,914,1,Vaccinate,VS,DST1,0,-0.03,0,Negative,4,Negative,Positive,Vaccinate_Positive,None
25,889,1,Vaccinate,VS,DST1,0,0.02,0,Positive,11,Positive,Positive,Vaccinate_Positive,None
26,102.1.1.1,1,Vaccinate,VS,DST1,0,-0.01,0,Positive,15,Positive,Positive,Vaccinate_Positive,None
27,77,1,Vaccinate,VS,DST1,0,-0.02,0,Positive,19,Positive,Positive,Vaccinate_Positive,None
28,901,1,Vaccinate,VS,DST1,0,-0.01,0,Positive,8,Positive,Positive,Vaccinate_Positive,Fasciola
29,902,1,Vaccinate,VS,DST1,0,-0.01,0,Positive,9,Positive,Positive,Vaccinate_Positive,None
30,875,1,Vaccinate,VS,DST1,0,0,0,Positive,8,Positive,Positive,Vaccinate_Positive,None
31,895,1,Vaccinate,VS,DST1,0,0.04,0,Negative,7,Negative,Positive,Vaccinate_Positive,None
32,524,1,Vaccinate,VS,DST1,0,0.02,0,Positive,4,Positive,Positive,Vaccinate_Positive,None
33,449,1,Vaccinate,VS,DST1,0,0,0,Positive,6,Positive,Positive,Vaccinate_Positive,None
34,84,1,Vaccinate,VS,DST1,0,-0.01,0,Positive,3,Positive,Positive,Vaccinate_Positive,Fasciola
35,957,2,Control,CS,DST1,0,0.03,0,Positive,28,Positive,Positive,Control_Positive,None
36,954,2,Control,CS,DST1,0,0.1,1,Positive,49,Positive,Positive,Control_Positive,None
37,967,2,Control,CS,DST1,0,0,0,Positive,13,Positive,Positive,Control_Positive,Fasciola
38,966,2,Control,CS,DST1,0,0,0,Positive,10,Positive,Positive,Control_Positive,None
39,956,2,Control,CS,DST1,0,0,0,Positive,78,Positive,Positive,Control_Positive,None
40,960,2,Control,CS,DST1,0,0.01,0,Positive,95,Positive,Positive,Control_Positive,None
41,54,2,Control,CS,DST1,0,0.05,0,Positive,39,Positive,Positive,Control_Positive,None
42,455,2,Control,CS,DST1,0,-0.05,0,Positive,38,Positive,Positive,Control_Positive,None
43,50,2,Control,CS,DST1,0,0.02,0,Positive,12,Positive,Positive,Control_Positive,None
44,453,2,Control,CS,DST1,0,-0.02,0,Negative,8,Negative,Positive,Control_Positive,Fasciola
45,942,2,Control,CS,DST1,0,0,0,Positive,13,Positive,Positive,Control_Positive,Fasciola
46,653,2,Control,CS,DST1,0,-0.08,0,Positive,31,Positive,Positive,Control_Positive,Fasciola
47,457,2,Control,CS,DST1,0,0.01,0,Positive,14,Positive,Positive,Control_Positive,None
48,924,2,Control,CS,DST1,0,0.02,0,Negative,23,Negative,Positive,Control_Positive,Fasciola
49,938,2,Control,CS,DST1,0,0,0,Negative,0,Negative,Negative,Control_Negative,None
50,926,2,Control,CS,DST1,0,0,0,Positive,104,Positive,Positive,Control_Positive,None
51,964,2,Vaccinate,VS,DST1,0,-0.01,0,Positive,23,Positive,Positive,Vaccinate_Positive,None
52,962,2,Vaccinate,VS,DST1,0,-0.11,0,Positive,16,Positive,Positive,Vaccinate_Positive,None
53,959,2,Vaccinate,VS,DST1,0,0.01,0,Positive,64,Positive,Positive,Vaccinate_Positive,None
54,48,2,Vaccinate,VS,DST1,0,0,0,Positive,0,Positive,Negative,Vaccinate_Negative,None
55,449,2,Vaccinate,VS,DST1,0,0.13,1,Negative,6,Negative,Positive,Vaccinate_Positive,None
56,63,2,Vaccinate,VS,DST1,0,0.02,0,Positive,39,Positive,Positive,Vaccinate_Positive,None
57,948,2,Vaccinate,VS,DST1,0,0.01,0,Negative,1,Negative,Positive,Vaccinate_Positive,Fasciola
58,64,2,Vaccinate,VS,DST1,0,-0.01,0,Positive,4,Positive,Positive,Vaccinate_Positive,None
59,713,2,Vaccinate,VS,DST1,0,0.02,0,Positive,100,Positive,Positive,Vaccinate_Positive,None
60,52,2,Vaccinate,VS,DST1,0,0,0,Positive,35,Positive,Positive,Vaccinate_Positive,None
61,51,2,Vaccinate,VS,DST1,0,-0.1,0,Negative,18,Negative,Positive,Vaccinate_Positive,None
62,65,2,Vaccinate,VS,DST1,0,0.02,0,Negative,16,Negative,Positive,Vaccinate_Positive,None
63,945,2,Vaccinate,VS,DST1,0,0.03,0,Positive,6,Positive,Positive,Vaccinate_Positive,None
64,459,2,Vaccinate,VS,DST1,0,0,0,Positive,4,Positive,Positive,Vaccinate_Positive,None
65,934,2,Vaccinate,VS,DST1,0,-0.2,0,Positive,18,Positive,Positive,Vaccinate_Positive,None
66,85,2,Vaccinate,VS,DST1,0,-0.07,0,Positive,11,Positive,Positive,Vaccinate_Positive,None
67,445,2,Vaccinate,VS,DST1,0,-0.01,0,Positive,28,Positive,Positive,Vaccinate_Positive,None
68,202,I,Vaccinate,V-CS,DST1,0,0.02,0,Positive,0,Positive,Negative,Vaccinate_Negative,Fasciola
