Uni_ID,ID1,ID2,Batch_Group,Exposure,Treatment,Group,Role,time,DST10,CCT,SIT,DST1,PPD_B,PPD_BA,PM,PCR,Gross_VL,IS1081,MTCAni,Fasciola
1,119.1.3,43,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,M14,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,933,46,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,M14,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3,893,24,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,M14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4,928,44,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,M14,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5,091.1.3,42,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,M14,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
6,522,18,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,M14,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
7,891,17,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,M14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
8,870,15,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,M14,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
9,525,33,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,M14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
10,79,34,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,M14,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
