Uni_ID,ID1,ID2,Batch_Group,Exposure,Treatment,Group,Role,Diagnosis,Pre_BCG,M2,M4,M6,M8,M10,M12,M14,D_Pre_BCG,D_M2,D_M4,D_M6,D_M8,D_M10,D_M12,D_M14,Culture_PCR_Or_VL,Culture_PCR_Or_VL_D,M_bovis_PCR,VL,VL_D,Total_VL_Score,IS1081_PCR,MTCAni_PCR,M_bovis_PCR
1,119.1.3,43,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST1,,0.016,0.044,-0.002,0.014,-0.008,-0.007,-0.003,,0,0,0,0,0,0,0,Positive,1,1,Yes,1,116,Positive,Positive,Positive
2,933,46,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST1,,0.029,0.016,2.123,0.56,0.134,0.404,0.674,,0,0,1,1,1,1,1,Positive,1,1,Yes,1,60,Positive,Positive,Positive
3,893,24,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST1,,-0.009,0.041,0,0.162,0.524,0.212,0.592,,0,0,0,1,1,1,1,Positive,1,1,Yes,1,10,Positive,Positive,Positive
4,928,44,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST1,,0.011,1.608,0.052,0.088,0.02,0.002,0.091,,0,1,0,0,0,0,0,Positive,1,0,Yes,1,15,Negative,Negative,Negative
5,091.1.3,42,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST1,,-0.001,1.056,0.567,0.151,0.141,0.087,0.097,,0,1,1,1,1,0,0,Positive,1,0,Yes,1,23,Negative,Negative,Negative
6,522,18,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST1,,-0.032,0.326,1,0.508,0.647,0.369,0.351,,0,1,1,1,1,1,1,Positive,1,1,Yes,1,4,Positive,Positive,Positive
7,891,17,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST1,,0.016,-0.003,0.445,0.542,0.459,0.662,1.036,,0,0,1,1,1,1,1,Positive,1,1,Yes,1,3,Positive,Positive,Positive
8,870,15,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST1,,-0.02,0.049,0.016,0.219,0.36,0.512,0.701,,0,0,0,1,1,1,1,Positive,1,0,Yes,1,11,Negative,Negative,Negative
9,525,33,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST1,,-0.037,0.011,1.754,1.365,0.584,0.764,1.234,,0,0,1,1,1,1,1,Positive,1,0,Yes,1,53,Negative,Negative,Negative
10,79,34,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST1,,-0.019,-0.074,0.419,0.014,0.021,0.059,0.052,,0,0,1,0,0,0,0,Positive,1,0,Yes,1,2,Negative,Negative,Negative
11,448,27,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST1,,0.089,0.001,0.181,0.16,0.397,0.13,0.139,,0,0,1,1,1,1,1,Positive,1,1,Yes,1,71,Positive,Positive,Positive
12,880,8,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST1,,0.001,-0.024,0.002,0.263,0.257,1.138,1.238,,0,0,0,1,1,1,1,Positive,1,1,Yes,1,78,Positive,Positive,Positive
13,520,30,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST1,,0,-0.001,3.384,0.791,0.745,0.821,1.174,,0,0,1,1,1,1,1,Positive,1,1,Yes,1,34,Positive,Positive,Positive
