ID_Uniq,ID1,Batch,Treatment,Group,Diagnosis,Months_Post_Exposure,Delta_OD450nm,Total_VL_Score,M_bovis_PCR,IS1081_PCR,VL_Status,Rx_VL_Status,Fasciola_At_PM
1,119.1.3,1,Control,CS,PPD-B,0,0.011,116,Positive,Positive,Positive,Control_Positive,None
2,933,1,Control,CS,PPD-B,0,0.036,60,Positive,Positive,Positive,Control_Positive,None
3,893,1,Control,CS,PPD-B,0,0.01,10,Positive,Positive,Positive,Control_Positive,None
4,928,1,Control,CS,PPD-B,0,0.22,15,Negative,Negative,Positive,Control_Positive,Fasciola
5,091.1.3,1,Control,CS,PPD-B,0,0.053,23,Negative,Negative,Positive,Control_Positive,None
6,522,1,Control,CS,PPD-B,0,-0.019,4,Positive,Positive,Positive,Control_Positive,None
7,891,1,Control,CS,PPD-B,0,0.039,3,Positive,Positive,Positive,Control_Positive,None
8,870,1,Control,CS,PPD-B,0,0.061,11,Negative,Negative,Positive,Control_Positive,None
9,525,1,Control,CS,PPD-B,0,-0.053,53,Negative,Negative,Positive,Control_Positive,None
10,79,1,Control,CS,PPD-B,0,0.144,2,Negative,Negative,Positive,Control_Positive,None
11,448,1,Control,CS,PPD-B,0,0.017,71,Positive,Positive,Positive,Control_Positive,None
12,880,1,Control,CS,PPD-B,0,0.019,78,Positive,Positive,Positive,Control_Positive,None
13,520,1,Control,CS,PPD-B,0,0.115,34,Positive,Positive,Positive,Control_Positive,None
14,885,1,Control,CS,PPD-B,0,0.02,12,Positive,Positive,Positive,Control_Positive,None
15,882,1,Control,CS,PPD-B,0,-0.005,72,Positive,Positive,Positive,Control_Positive,None
16,443,1,Control,CS,PPD-B,0,-0.023,23,Positive,Positive,Positive,Control_Positive,Fasciola
17,521,1,Control,CS,PPD-B,0,-0.129,16,Negative,Negative,Positive,Control_Positive,Fasciola
18,098.1.1.2,1,Vaccinate,VS,PPD-B,0,0.915,28,Positive,Positive,Positive,Vaccinate_Positive,None
19,919,1,Vaccinate,VS,PPD-B,0,0.858,72,Negative,Negative,Positive,Vaccinate_Positive,Fasciola
20,518,1,Vaccinate,VS,PPD-B,0,0.029,0,Negative,Negative,Negative,Vaccinate_Negative,None
21,936,1,Vaccinate,VS,PPD-B,0,0.077,5,Negative,Negative,Positive,Vaccinate_Positive,None
22,087.2.2,1,Vaccinate,VS,PPD-B,0,0.003,9,Negative,Negative,Positive,Vaccinate_Positive,None
23,890,1,Vaccinate,VS,PPD-B,0,0.018,0,Negative,Negative,Negative,Vaccinate_Negative,None
24,914,1,Vaccinate,VS,PPD-B,0,0.312,4,Negative,Negative,Positive,Vaccinate_Positive,None
25,889,1,Vaccinate,VS,PPD-B,0,0.171,11,Positive,Positive,Positive,Vaccinate_Positive,None
26,102.1.1.1,1,Vaccinate,VS,PPD-B,0,0.819,15,Positive,Positive,Positive,Vaccinate_Positive,None
27,77,1,Vaccinate,VS,PPD-B,0,0.14,19,Positive,Positive,Positive,Vaccinate_Positive,None
28,901,1,Vaccinate,VS,PPD-B,0,0.051,8,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
29,902,1,Vaccinate,VS,PPD-B,0,0.025,9,Positive,Positive,Positive,Vaccinate_Positive,None
30,875,1,Vaccinate,VS,PPD-B,0,0.289,8,Positive,Positive,Positive,Vaccinate_Positive,None
31,895,1,Vaccinate,VS,PPD-B,0,0.093,7,Negative,Negative,Positive,Vaccinate_Positive,None
32,524,1,Vaccinate,VS,PPD-B,0,0.246,4,Positive,Positive,Positive,Vaccinate_Positive,None
33,449,1,Vaccinate,VS,PPD-B,0,0.199,6,Positive,Positive,Positive,Vaccinate_Positive,None
34,84,1,Vaccinate,VS,PPD-B,0,-0.012,3,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
35,957,2,Control,CS,PPD-B,0,0.07,28,Positive,Positive,Positive,Control_Positive,None
36,954,2,Control,CS,PPD-B,0,0.007,49,Positive,Positive,Positive,Control_Positive,None
37,967,2,Control,CS,PPD-B,0,0.378,13,Positive,Positive,Positive,Control_Positive,Fasciola
38,966,2,Control,CS,PPD-B,0,0.753,10,Positive,Positive,Positive,Control_Positive,None
39,956,2,Control,CS,PPD-B,0,0.181,78,Positive,Positive,Positive,Control_Positive,None
40,960,2,Control,CS,PPD-B,0,0.039,95,Positive,Positive,Positive,Control_Positive,None
41,54,2,Control,CS,PPD-B,0,0.051,39,Positive,Positive,Positive,Control_Positive,None
42,455,2,Control,CS,PPD-B,0,-0.05,38,Positive,Positive,Positive,Control_Positive,None
43,50,2,Control,CS,PPD-B,0,0.487,12,Positive,Positive,Positive,Control_Positive,None
44,453,2,Control,CS,PPD-B,0,0.1,8,Negative,Negative,Positive,Control_Positive,Fasciola
45,942,2,Control,CS,PPD-B,0,0.052,13,Positive,Positive,Positive,Control_Positive,Fasciola
46,653,2,Control,CS,PPD-B,0,1.551,31,Positive,Positive,Positive,Control_Positive,Fasciola
47,457,2,Control,CS,PPD-B,0,0.014,14,Positive,Positive,Positive,Control_Positive,None
48,924,2,Control,CS,PPD-B,0,0.179,23,Negative,Negative,Positive,Control_Positive,Fasciola
49,938,2,Control,CS,PPD-B,0,0.116,0,Negative,Negative,Negative,Control_Negative,None
50,926,2,Control,CS,PPD-B,0,2.842,104,Positive,Positive,Positive,Control_Positive,None
51,964,2,Vaccinate,VS,PPD-B,0,0.311,23,Positive,Positive,Positive,Vaccinate_Positive,None
52,962,2,Vaccinate,VS,PPD-B,0,1.51,16,Positive,Positive,Positive,Vaccinate_Positive,None
53,959,2,Vaccinate,VS,PPD-B,0,0.515,64,Positive,Positive,Positive,Vaccinate_Positive,None
54,48,2,Vaccinate,VS,PPD-B,0,0.513,0,Positive,Positive,Negative,Vaccinate_Negative,None
55,449,2,Vaccinate,VS,PPD-B,0,2.425,6,Negative,Negative,Positive,Vaccinate_Positive,None
56,63,2,Vaccinate,VS,PPD-B,0,1.965,39,Positive,Positive,Positive,Vaccinate_Positive,None
57,948,2,Vaccinate,VS,PPD-B,0,0.279,1,Negative,Negative,Positive,Vaccinate_Positive,Fasciola
58,64,2,Vaccinate,VS,PPD-B,0,0.488,4,Positive,Positive,Positive,Vaccinate_Positive,None
59,713,2,Vaccinate,VS,PPD-B,0,0.337,100,Positive,Positive,Positive,Vaccinate_Positive,None
60,52,2,Vaccinate,VS,PPD-B,0,0.99,35,Positive,Positive,Positive,Vaccinate_Positive,None
61,51,2,Vaccinate,VS,PPD-B,0,0.43,18,Negative,Negative,Positive,Vaccinate_Positive,None
62,65,2,Vaccinate,VS,PPD-B,0,1.019,16,Negative,Negative,Positive,Vaccinate_Positive,None
63,945,2,Vaccinate,VS,PPD-B,0,0.336,6,Positive,Positive,Positive,Vaccinate_Positive,None
64,459,2,Vaccinate,VS,PPD-B,0,0.97,4,Positive,Positive,Positive,Vaccinate_Positive,None
65,934,2,Vaccinate,VS,PPD-B,0,2.884,18,Positive,Positive,Positive,Vaccinate_Positive,None
66,85,2,Vaccinate,VS,PPD-B,0,1.935,11,Positive,Positive,Positive,Vaccinate_Positive,None
67,445,2,Vaccinate,VS,PPD-B,0,2.517,28,Positive,Positive,Positive,Vaccinate_Positive,None
68,202,I,Vaccinate,V-CS,PPD-B,0,0.503,0,Positive,Positive,Negative,Vaccinate_Negative,Fasciola
69,1105,I,Control,C-VS,PPD-B,0,0.007,44,Positive,Positive,Positive,Control_Positive,None
70,1128,I,Vaccinate,V-VS,PPD-B,0,0.768,0,Negative,Negative,Negative,Vaccinate_Negative,None
71,0068H,I,Vaccinate,V-VS,PPD-B,0,0.795,1,Negative,Negative,Positive,Vaccinate_Positive,None
