ID_Uniq,ID1,Batch,Treatment,Group,Diagnosis,Months_Post_Exposure,Skin_Thickness,Total_VL_Score,M_bovis_PCR,IS1081_PCR,VL_Status,Rx_VL_Status,Parasite_At_PM
1,119.1.3,1,Control,CS,SIT,0,1,116,Positive,Positive,Positive,Control_Positive,None
2,933,1,Control,CS,SIT,0,2,60,Positive,Positive,Positive,Control_Positive,None
3,893,1,Control,CS,SIT,0,0,10,Positive,Positive,Positive,Control_Positive,None
4,928,1,Control,CS,SIT,0,1,15,Negative,Negative,Positive,Control_Positive,Fasciola
5,091.1.3,1,Control,CS,SIT,0,1,23,Negative,Negative,Positive,Control_Positive,None
6,522,1,Control,CS,SIT,0,0,4,Positive,Positive,Positive,Control_Positive,None
7,891,1,Control,CS,SIT,0,0,3,Positive,Positive,Positive,Control_Positive,None
8,870,1,Control,CS,SIT,0,1,11,Negative,Negative,Positive,Control_Positive,None
9,525,1,Control,CS,SIT,0,0,53,Negative,Negative,Positive,Control_Positive,None
10,79,1,Control,CS,SIT,0,1,2,Negative,Negative,Positive,Control_Positive,None
11,448,1,Control,CS,SIT,0,0,71,Positive,Positive,Positive,Control_Positive,None
12,880,1,Control,CS,SIT,0,1,78,Positive,Positive,Positive,Control_Positive,None
13,520,1,Control,CS,SIT,0,0,34,Positive,Positive,Positive,Control_Positive,None
14,885,1,Control,CS,SIT,0,1,12,Positive,Positive,Positive,Control_Positive,None
15,882,1,Control,CS,SIT,0,1,72,Positive,Positive,Positive,Control_Positive,None
16,443,1,Control,CS,SIT,0,2,23,Positive,Positive,Positive,Control_Positive,Fasciola
17,521,1,Control,CS,SIT,0,0,16,Negative,Negative,Positive,Control_Positive,Fasciola
18,098.1.1.2,1,Vaccinate,VS,SIT,0,8,28,Positive,Positive,Positive,Vaccinate_Positive,None
19,919,1,Vaccinate,VS,SIT,0,7,72,Negative,Negative,Positive,Vaccinate_Positive,Fasciola
20,518,1,Vaccinate,VS,SIT,0,1,0,Negative,Negative,Negative,Vaccinate_Negative,None
21,936,1,Vaccinate,VS,SIT,0,7,5,Negative,Negative,Positive,Vaccinate_Positive,None
22,087.2.2,1,Vaccinate,VS,SIT,0,1,9,Negative,Negative,Positive,Vaccinate_Positive,None
23,890,1,Vaccinate,VS,SIT,0,6,0,Negative,Negative,Negative,Vaccinate_Negative,None
24,914,1,Vaccinate,VS,SIT,0,4,4,Negative,Negative,Positive,Vaccinate_Positive,None
25,889,1,Vaccinate,VS,SIT,0,9,11,Positive,Positive,Positive,Vaccinate_Positive,None
26,102.1.1.1,1,Vaccinate,VS,SIT,0,11,15,Positive,Positive,Positive,Vaccinate_Positive,None
27,77,1,Vaccinate,VS,SIT,0,4,19,Positive,Positive,Positive,Vaccinate_Positive,None
28,901,1,Vaccinate,VS,SIT,0,5,8,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
29,902,1,Vaccinate,VS,SIT,0,5,9,Positive,Positive,Positive,Vaccinate_Positive,None
30,875,1,Vaccinate,VS,SIT,0,9,8,Positive,Positive,Positive,Vaccinate_Positive,None
31,895,1,Vaccinate,VS,SIT,0,6,7,Negative,Negative,Positive,Vaccinate_Positive,None
32,524,1,Vaccinate,VS,SIT,0,7,4,Positive,Positive,Positive,Vaccinate_Positive,None
33,449,1,Vaccinate,VS,SIT,0,3,6,Positive,Positive,Positive,Vaccinate_Positive,None
34,84,1,Vaccinate,VS,SIT,0,2,3,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
35,957,2,Control,CS,SIT,0,0,28,Positive,Positive,Positive,Control_Positive,None
36,954,2,Control,CS,SIT,0,0,49,Positive,Positive,Positive,Control_Positive,None
37,967,2,Control,CS,SIT,0,1,13,Positive,Positive,Positive,Control_Positive,Fasciola
38,966,2,Control,CS,SIT,0,0,10,Positive,Positive,Positive,Control_Positive,None
39,956,2,Control,CS,SIT,0,1,78,Positive,Positive,Positive,Control_Positive,None
40,960,2,Control,CS,SIT,0,0,95,Positive,Positive,Positive,Control_Positive,None
41,54,2,Control,CS,SIT,0,1,39,Positive,Positive,Positive,Control_Positive,None
42,455,2,Control,CS,SIT,0,1,38,Positive,Positive,Positive,Control_Positive,None
43,50,2,Control,CS,SIT,0,0,12,Positive,Positive,Positive,Control_Positive,None
44,453,2,Control,CS,SIT,0,0,8,Negative,Negative,Positive,Control_Positive,Fasciola
45,942,2,Control,CS,SIT,0,0,13,Positive,Positive,Positive,Control_Positive,Fasciola
46,653,2,Control,CS,SIT,0,1,31,Positive,Positive,Positive,Control_Positive,Fasciola
47,457,2,Control,CS,SIT,0,0,14,Positive,Positive,Positive,Control_Positive,None
48,924,2,Control,CS,SIT,0,1,23,Negative,Negative,Positive,Control_Positive,Fasciola
49,938,2,Control,CS,SIT,0,0,0,Negative,Negative,Negative,Control_Negative,None
50,926,2,Control,CS,SIT,0,0,104,Positive,Positive,Positive,Control_Positive,None
51,964,2,Vaccinate,VS,SIT,0,6,23,Positive,Positive,Positive,Vaccinate_Positive,None
52,962,2,Vaccinate,VS,SIT,0,13,16,Positive,Positive,Positive,Vaccinate_Positive,None
53,959,2,Vaccinate,VS,SIT,0,6,64,Positive,Positive,Positive,Vaccinate_Positive,None
54,48,2,Vaccinate,VS,SIT,0,12,0,Positive,Positive,Negative,Vaccinate_Negative,None
55,449,2,Vaccinate,VS,SIT,0,11,6,Negative,Negative,Positive,Vaccinate_Positive,None
56,63,2,Vaccinate,VS,SIT,0,5,39,Positive,Positive,Positive,Vaccinate_Positive,None
57,948,2,Vaccinate,VS,SIT,0,3,1,Negative,Negative,Positive,Vaccinate_Positive,Fasciola
58,64,2,Vaccinate,VS,SIT,0,6,4,Positive,Positive,Positive,Vaccinate_Positive,None
59,713,2,Vaccinate,VS,SIT,0,0,100,Positive,Positive,Positive,Vaccinate_Positive,None
60,52,2,Vaccinate,VS,SIT,0,6,35,Positive,Positive,Positive,Vaccinate_Positive,None
61,51,2,Vaccinate,VS,SIT,0,6,18,Negative,Negative,Positive,Vaccinate_Positive,None
62,65,2,Vaccinate,VS,SIT,0,4,16,Negative,Negative,Positive,Vaccinate_Positive,None
63,945,2,Vaccinate,VS,SIT,0,0,6,Positive,Positive,Positive,Vaccinate_Positive,None
64,459,2,Vaccinate,VS,SIT,0,15,4,Positive,Positive,Positive,Vaccinate_Positive,None
65,934,2,Vaccinate,VS,SIT,0,4,18,Positive,Positive,Positive,Vaccinate_Positive,None
66,85,2,Vaccinate,VS,SIT,0,3,11,Positive,Positive,Positive,Vaccinate_Positive,None
67,445,2,Vaccinate,VS,SIT,0,6,28,Positive,Positive,Positive,Vaccinate_Positive,None
68,202,I,Vaccinate,V-CS,SIT,0,17,0,Positive,Positive,Negative,Vaccinate_Negative,Fasciola
69,1105,I,Control,C-VS,SIT,0,0,44,Positive,Positive,Positive,Control_Positive,None
70,1128,I,Vaccinate,V-VS,SIT,0,3,0,Negative,Negative,Negative,Vaccinate_Negative,None
71,0068H,I,Vaccinate,V-VS,SIT,0,5,1,Negative,Negative,Positive,Vaccinate_Positive,None
72,0067H,I,Vaccinate,V-VS,SIT,0,5,0,Positive,Positive,Negative,Vaccinate_Negative,None
73,0070H,I,Vaccinate,V-CS,SIT,0,6,3,Negative,Negative,Positive,Vaccinate_Positive,None
74,497,I,Vaccinate,V-VS,SIT,0,9,1,Negative,Negative,Positive,Vaccinate_Positive,None
